step	trial	trial_id	layout	uid	control	coordination	variableExplicabilite	time_elapsed	score	human_action_count	agent_action_count	agent_stuck_loop	hl_switch	agent_interact_count	human_interact_count	achieved_orders_len	bloc	trialuidQPT	median_interactioncount	median_time_elapsed	AtoH	HtoA	coll_tot	median_collisions	ContributionRelativeHuman	ContributionUtile	Min	Max	MMControlold	EfficacHuman	EfficacRobot	Coordinationbinary	Explicabilitebinary	InteracCoordExplic	InteractionbyActionUnit	TimeforInteraction	MoyHumanInteractByLayout	MoyAgentInteractByLayout	AgentinteractstandardLayout	HumanInteractStandardLayout	MoyHumanActionByLayout	MoyAgentActionByLayout	HumanActionStandarLayout	AgentActionStandardLayout	EfficaciteHumanLayout	MMEfficaciteHumanLayout	EfficaciteAgentLayout	MMEfficaciteAgentLayout	MoyTimeByLayout	TimeElapsedcontrolledforLayout	MinParticipant	MaxParticipant	MMControl	NbDeplacementBylayout	MincontrolLayout	MaxControlLayout	MoycontrolByLayout	MMControlLayout	ZscoreControlLayout	ControlByNbDeplacement	Z_coordination	Z_explicability	Z_time	Z_Deplacement	Efficacite(InteractionsDivByAction)	Z_Deplacement_Categ	Explained_dummy
1	2	613214cda0b25f340c8077b1_1QPT2	recipe_trial1_1	613214cda0b25f340c8077b1	2	Unforced_coordination	Non-Explique	68,34269643	34	216	168	48	8	33	32	6	1	613214cda0b25f340c8077b1_bloc_1_trial_2_cond_Non-Explique	Large_contribution	Low_game	54	56	110	Lot_of_collisions	0,492307692	0,96969697	1	4	0,333333333	0,468228526	0,482860667	-0,5	-0,5	0,25	6,75	10,12484392	25525	40,3125	-7,3125	6475	205,5625	175,4875	10,4375	-7,4875	1,611969112	0,553516741	1,023931624	0,648438198	71,56663706	-3,223940635	1	4	0,333333333	21	0	4	2,506329114	0,5	-0,506329114	0,095238095	-0,504279601	-0,485734665	7,854161973	5,057061341	0,148148148	5,057061341	0
3	3	62ab2034b58fe149d144acf4_3QPT3	coord_map3_4	62ab2034b58fe149d144acf4	2	Forced_coordination	Non-Explique	44,04152083	35	171	106	60	19	42	40	6	3	62ab2034b58fe149d144acf4_bloc_3_trial_3_cond_Non-Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,487804878	0,952380952	1	3	0,5	0,908233849	0,953645542	0,5	-0,5	-0,25	4275	10,30211014	27,64044944	44,08988764	-2,08988764	12,35955056	125,1910112	136,4719101	45,80898876	-30,47191011	3,706363636	0,555379134	14,58064516	0,667580691	55,64733586	-11,60581503	1	3	0,5	13	1	4	2,67816092	0,333333333	-0,67816092	0,153846154	0,495720399	-0,485734665	-16,44701362	-2,942938659	0,233918129	-2,942938659	0
3	1	60ceab9344ca679de3297af5_3QPT1	coord_map3_4	60ceab9344ca679de3297af5	3	Forced_coordination	Explique	60,17625785	35	105	147	45	10	43	29	6	3	60ceab9344ca679de3297af5_bloc_3_trial_1_cond_Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,402777778	0,674418605	0	3	1	0,481917637	0,714567531	0,5	0,5	0,25	3,620689655	16,62010931	27,64044944	44,08988764	-1,08988764	1,359550562	125,1910112	136,4719101	-20,19101124	10,52808989	-14,85123967	0,5388772	-9,659793814	0,633352452	55,64733586	4,528921985	0	3	1	13	1	4	2,67816092	0,666666667	0,32183908	0,230769231	0,495720399	0,514265335	-0,312276606	-2,942938659	0,276190476	-2,942938659	1
3	3	61154c6200b97c6b6a21cc5d_3QPT3	recipe_trial3_1	61154c6200b97c6b6a21cc5d	0	Unforced_coordination	Non-Explique	74,18624258	34	254	181	62	12	37	39	6	3	61154c6200b97c6b6a21cc5d_bloc_3_trial_3_cond_Non-Explique	Large_contribution	Low_game	52	32	84	Lot_of_collisions	0,513157895	1,054054054	0	4	0	0,52570394	0,498744763	-0,5	-0,5	0,25	6,512820513	11,39080103	27,30588235	39,35294118	-2,352941176	11,69411765	211,9647059	171,6470588	42,03529412	9,352941176	3,594567404	0,555279722	-3975	0,641379554	70,27551673	3,910725846	0	4	0	21	0	4	2,494117647	0	-2,494117647	0	-0,504279601	-0,485734665	13,69770813	5,057061341	0,153543307	5,057061341	0
1	1	61011e6bb314573c922e70c9_1QPT1	coord_map1_4	61011e6bb314573c922e70c9	2	Forced_coordination	Explique	51,1720283	35	170	126	30	10	45	39	6	1	61011e6bb314573c922e70c9_bloc_1_trial_1_cond_Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,464285714	0,866666667	1	4	0,333333333	0,762135121	0,879386678	0,5	0,5	0,25	4,358974359	11,73946532	27,15730337	45,33707865	-0,337078652	11,84269663	126,9550562	142,2808989	43,04494382	-16,28089888	3,634724858	0,555315431	48,3	0,715193448	57,87569265	-6,703664347	2	4	0	13	1	4	2,735632184	0,333333333	-0,735632184	0,153846154	0,495720399	0,514265335	-9,316506152	-2,942938659	0,229411765	-2,942938659	1
1	3	601b4c26e9531b5069920cc9_1QPT3	coord_map1_0	601b4c26e9531b5069920cc9	4	Forced_coordination	Explique	33,65350366	33	117	84	75	23	31	33	6	1	601b4c26e9531b5069920cc9_bloc_1_trial_3_cond_Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,515625	1,064516129	0	4	1	0,980581408	0,921152232	0,5	0,5	0,25	3,545454545	9,492013852	27,47826087	43,44565217	-12,44565217	5,52173913	111,9456522	127,3478261	5,054347826	-43,34782609	0,915354331	0,552897292	3,482969432	0,651910434	52,19263589	-18,53913223	2	4	1	7	1	4	2,833333333	1	1,166666667	0,571428571	0,495720399	0,514265335	-26,8350308	-8,942938659	0,282051282	-8,942938659	1
4	2	60ba9d2c4a601d458f92fa85_4QPT2	recipe_trial4_2	60ba9d2c4a601d458f92fa85	0	Unforced_coordination	Explique	81,17532802	34	249	195	53	14	48	46	6	4	60ba9d2c4a601d458f92fa85_bloc_4_trial_2_cond_Explique	Large_contribution	Low_game	33	44	77	Lot_of_collisions	0,489361702	0,958333333	0	4	0	0,566674643	0,591312671	-0,5	0,5	-0,25	5,413043478	14,99624534	29,25	36,30434783	11,69565217	16,75	176,3043478	161,5217391	72,69565217	33,47826087	4,340038936	0,555942616	2,862453532	0,651034247	65,27233323	15,90299479	0	4	0	23	0	4	2,280898876	0	-2,280898876	0	-0,504279601	0,514265335	20,68679356	7,057061341	0,184738956	7,057061341	1
1	3	5e8783b0fde5153fbd9dca43_1QPT3	coord_map1_4	5e8783b0fde5153fbd9dca43	1	Forced_coordination	Non-Explique	59,44601893	35	128	144	100	18	47	32	6	1	5e8783b0fde5153fbd9dca43_bloc_1_trial_3_cond_Non-Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,405063291	0,680851064	1	4	0	0,538303499	0,790633264	0,5	-0,5	-0,25	4	14,86150473	27,15730337	45,33707865	1,662921348	4,842696629	126,9550562	142,2808989	1,04494382	1,719101124	0,215777262	0,552275208	1,033783784	0,648452109	57,87569265	1,570326284	1	4	0	13	1	4	2,735632184	0	-1,735632184	0,076923077	0,495720399	-0,485734665	-1,042515521	-2,942938659	0,25	-2,942938659	0
2	1	5cf9179b8c98dc0001d5a431_2QPT1	coord_map2_0	5cf9179b8c98dc0001d5a431	2	Forced_coordination	Non-Explique	43,54936576	33	100	108	32	8	41	31	6	2	5cf9179b8c98dc0001d5a431_bloc_2_trial_1_cond_Non-Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,430555556	0,756097561	1	4	0,333333333	0,711835855	0,941460324	0,5	-0,5	-0,25	3,225806452	13,50030339	28,49450549	40,43956044	0,56043956	2,505494505	112,7252747	117,7692308	-12,72527473	-9,769230769	-5,078947368	0,547566993	-17,43137255	0,622378745	48,11538845	-4,566022691	1	4	0,333333333	7	1	4	2,863636364	0,333333333	-0,863636364	0,285714286	0,495720399	-0,485734665	-16,9391687	-8,942938659	0,31	-8,942938659	0
2	0	5c0682910ac58a00011568a5_2QPT0	coord_map2_4	5c0682910ac58a00011568a5	3	Forced_coordination	Non-Explique	40,28397036	35	127	99	8	4	33	32	6	2	5c0682910ac58a00011568a5_bloc_2_trial_0_cond_Non-Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,492307692	0,96969697	0	3	1	0,794360628	0,819184398	0,5	-0,5	-0,25	3,96875	10,15029174	27,39325843	44,61797753	-11,61797753	4,606741573	126,9213483	140,988764	0,078651685	-41,98876404	0,017073171	0,552098515	3,614119923	0,652095623	57,68511303	-17,40114268	0	3	1	13	1	4	2,681818182	0,666666667	0,318181818	0,230769231	0,495720399	-0,485734665	-20,2045641	-2,942938659	0,251968504	-2,942938659	0
